"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","Minnesota","Both","All Ages","1999","2013","Homicide Firearm","2000","77","4919479","1.57"
"Both Sexes","All Races","Mississippi","Both","All Ages","1999","2013","Homicide Firearm","2000","214","2844658","7.52"
"Both Sexes","All Races","Missouri","Both","All Ages","1999","2013","Homicide Firearm","2000","273","5595211","4.88"
"Both Sexes","All Races","Montana","Both","All Ages","1999","2013","Homicide Firearm","2000","17","902195","1.88"
"Both Sexes","All Races","Nebraska","Both","All Ages","1999","2013","Homicide Firearm","2000","41","1711263","2.4"
"Both Sexes","All Races","Nevada","Both","All Ages","1999","2013","Homicide Firearm","2000","89","1998257","4.45"
"Both Sexes","All Races","New Hampshire","Both","All Ages","1999","2013","Homicide Firearm","2000","P","1235786","."
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2013","Homicide Firearm","2000","172","8414350","2.04"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2013","Homicide Firearm","2000","99","1819046","5.44"
"Both Sexes","All Races","New York","Both","All Ages","1999","2013","Homicide Firearm","2000","602","18976457","3.17"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2013","Homicide Firearm","2000","458","8049313","5.69"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2013","Homicide Firearm","2000","P","642200","."
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2013","Homicide Firearm","2000","253","11353140","2.23"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2013","Homicide Firearm","2000","115","3450654","3.33"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2013","Homicide Firearm","2000","62","3421399","1.81"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2013","Homicide Firearm","2000","439","12281054","3.57"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2013","Homicide Firearm","2000","27","1048319","2.58"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2013","Homicide Firearm","2000","169","4012012","4.21"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2013","Homicide Firearm","2000","P","754844","."
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2013","Homicide Firearm","2000","343","5689283","6.03"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2013","Homicide Firearm","2000","804","20851820","3.86"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2013","Homicide Firearm","2000","16","2233169","0.72"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2013","Homicide Firearm","2000","P","608827","."
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2013","Homicide Firearm","2000","284","7078515","4.01"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2013","Homicide Firearm","2000","112","5894121","1.9"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2013","Homicide Firearm","2000","56","1808344","3.1"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2013","Homicide Firearm","2000","112","5363675","2.09"
